,Unnamed: 0,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
58,58,블랙다운커피 덕성여대,"커피, 카페",강북구,서울특별시 강북구 우이동 72-83,"아늑한분위기, 테이크아웃",127.013602114585,37.6501802143675,카페
59,59,와라이 미아사거리역,"이자카야, 술집",강북구,서울특별시 강북구 미아동 54-51,"캐주얼한, 저녁식사, 반려동물동반, 제로페이, 배달",127.031195111604,37.6137979466814,음식점
60,60,데어유고 미아사거리역,"카페, 커피",강북구,서울특별시 강북구 미아동 52-68,"차분한, 테이크아웃, 반려동물동반, 바테이블, 배달",127.032854055668,37.6130246283506,카페
61,61,에이머그 수유,"카페, 크로플",강북구,서울특별시 강북구 수유동 2-2,"예쁜, 테이크아웃, 반려동물동반, 주차",127.022630889657,37.6375468506233,카페
62,62,담꾹 수유시장점,"소고기국밥, 안동찜닭",강북구,서울시 강북구 미아동 217-1,"깔끔한, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",127.023529855132,37.6305543057497,음식점
63,63,숲속에바다 우이동계곡,"삼겹살, 해물찜",강북구,서울특별시 강북구 우이동 299-2,"경관/야경이좋은, 점심식사, 저녁식사, 놀이방, 야외테라스, 반려동물동반",127.007292801882,37.6716708036342,음식점
64,64,J's Park 수유,브런치,강북구,서울특별시 강북구 수유동 535-117,"분위기좋은, 야외테라스, 정원, 반려동물동반, 주차, 배달",127.00501932906,37.6444499153743,카페
65,65,하루당 미아역,"카페, 디저트카페",강북구,서울시 강북구 미아동 304-25,"조용한, 테이크아웃, 야외테라스, 반려동물동반, 반려동물동반, 배달",127.02562217621,37.6259945179806,카페
66,66,초원 우이동,닭볶음탕,강북구,서울특별시 강북구 수유동 21-6,"자연친화적, 점심식사, 저녁식사, 야외자리",127.028678172223,37.6437735915745,음식점
67,67,카페얼롱 수유,"카페, 스콘",강북구,서울특별시 강북구 수유동 167-74,"분위기좋은, 테이크아웃, 배달",127.031223629448,37.6159073334629,카페
68,68,비원하프 미아사거리,"카페, 디저트",강북구,서울특별시 강북구 미아동 90-39,"예쁜, 반려동물동반",127.008005866759,37.6461768465276,카페
69,69,모모떡볶이 수유,"떡볶이, 까페",강북구,서울특별시 강북구 수유동 564-2,"점심식사, 저녁식사, 반려동물동반, 주차, 배달",127.004578585657,37.6430226843387,음식점
70,70,물꼬기 수유,"지라시스시, 일식집",강북구,서울 강북구 수유동 535-82,"조용한, 저녁식사, 정원, 바자리, 주차",127.006523173171,37.671845368505,음식점
71,71,소귀골백운산장 우이동,"오리로스, 더덕불고기",강북구,서울특별시 강북구 우이동 297,"놀이방, 주차",127.010715096926,37.6467365028482,음식점
72,72,노르웨이안 우드 수유,"카페, 스콘",강북구,서울특별시 강북구 수유동 569-59,"숲속, 정원, 반려동물동반, 배달",127.027262211257,37.6206224645707,카페
73,73,유월보름 미아동,"카페, 마들렌",강북구,서울특별시 강북구 미아동 323-51,"서민적인, 테이크아웃, 반려동물동반, 배달",127.023161781358,37.6396669452621,카페
74,74,헤이호미 수유,"카페, 소금빵",강북구,서울특별시 강북구 수유동 221-36,"캐주얼한, 반려동물동반, 배달",127.010702653166,37.6468795801827,카페
75,75,크림앤버터 수유동,"젤라또, 쿠키",강북구,서울특별시 강북구 수유동 569-60 지하1층,"반려동물동반, 배달",127.00626449471,37.6622391277677,카페
76,76,초가집 북한산,"백숙, 엄나무닭백숙",강북구,서울특별시 강북구 우이동 252,"가족끼리, 개별룸, 야외자리, 좌식, 주차",127.027150382341,37.6261479746933,음식점
77,77,카페문나잇 미아,"카페, 레터링케이크",강북구,서울특별시 강북구 미아동 121-47,"크리스마스, 점심식사, 반려동물동반, 배달",127.005188926678,37.6734033187634,카페
78,78,한일산장 우이동계곡,한정식,강북구,서울특별시 강북구 우이동 산79,"운치있는, 점심식사, 저녁식사, 발렛, 바깥자리",127.019877209369,37.6372040713596,음식점
79,79,CBC 수유,"카페, 브라우니",강북구,서울특별시 강북구 수유동 8-136,"차분한, 테이크아웃, 야외좌석",127.15420249196,37.5457752731846,카페
80,80,스윗솔트 강동구,브런치,강동구,서울특별시 강동구 명일동 222-3,"경관/야경이좋은, 아침식사, 점심식사, 저녁식사, 반려동물동반, 반려동물동반",127.130899512304,37.5236405117307,카페
81,81,WAAAH 성내동,브런치,강동구,서울특별시 강동구 성내동 448-18 올림픽파크플러스 105호,"존맛, 반려동물동반",127.142810417452,37.5528046796292,카페
82,82,아름다운제주돈 명일동,"고깃집, 흑돼지",강동구,서울특별시 강동구 명일동 312-19,"오빠랑, 포장가능, 셀프바, 연탄불, 주차, 배달",127.146867039793,37.5655835796748,음식점
83,83,스테이지28 고덕,"레스토랑, 스테이크",강동구,서울특별시 강동구 고덕동 405-4,"예쁜, 점심식사, 저녁식사, 놀이방, 무료주차",127.130412302134,37.5510693768895,음식점
84,84,카페공공장소 암사,"카페, 다방",강동구,서울특별시 강동구 암사동 497-7,"지역주민이찾는, 반려동물동반, 반려동물동반, 주차, 배달",127.133740392895,37.5255865561012,카페
85,85,램니쿠야 강동구,"양고기, 양갈비",강동구,서울특별시 강동구 성내동 438-13,"다양한반찬, 점심식사, 저녁식사, 바테이블, 주차, 배달",127.131663675649,37.5262811289762,음식점
86,86,미드데이 썬 성내동,"카페, 수플레",강동구,서울특별시 강동구 성내동 432-4,"예쁜, 테이크아웃, 반려동물동반, 무료주차",127.132451482721,37.524923429808,카페
87,87,썸이프 강동구,"카페, 라떼",강동구,서울특별시 강동구 성내동 438-4,"모던한분위기, 반려동물동반, 주차",127.123992202683,37.5324594874958,카페
88,88,하다식당 강동구,돈까스,강동구,서울특별시 강동구 성내동 126-4,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 주차",127.12543945184,37.5398107501458,음식점
89,89,대팔이네 천호,"곱창, 곱창전골",강동구,서울특별시 강동구 천호동 427-9,"불맛, 저녁식사, 반려동물동반, 배달",127.135836937251,37.5335391007378,음식점
90,90,카페 온도 성내동,"카페, 디저트",강동구,서울특별시 강동구 성내동 245-39,"깔끔한, 반려동물동반",127.123817147966,37.5344263749708,카페
91,91,헤르츠 로그 천호,"카페, 바나나푸딩",강동구,서울특별시 강동구 성내동 118-32,테이크아웃,127.155804493467,37.5519802341278,카페
92,92,Manos Coffee 고덕,"커피, 카페",강동구,서울특별시 강동구 명일동 48-17 한화오벨리스크스위트 105호 마노스커피,"엔틱한, 테이크아웃, 반려동물동반, 주차",127.140679070856,37.5354458047373,카페
93,93,스탬핑그라운드 길동,"카페, 디저트",강동구,서울특별시 강동구 길동 408-18,"분위기좋은, 테이크아웃, 반려동물동반, 주차, 배달",127.13112718279,37.5301393624709,카페
94,94,스태리 성내동,"카페, 계란빵",강동구,서울특별시 강동구 성내동 420-11,"아늑한카페, 야외테라스, 주차, 배달",127.132286285762,37.5330415444782,카페
95,95,오두커피 강동역,"커피, 오렌지",강동구,서울특별시 강동구 성내동 500,"분위기좋은, 반려동물동반, 주차",127.139674087048,37.5446404341564,카페
96,96,바빌 강동구,"카페, 커피",강동구,서울특별시 강동구 천호동 47-22,"반려동물동반, 주차, 배달",127.128097903354,37.5398110498001,카페
97,97,솔리 천호,"카페, 한천",강동구,서울특별시 강동구 천호동 409-35,"예쁜, 반려동물동반, 배달",127.138487538243,37.5456271636904,카페
